index,date,price,type,cross_type
2,2013-07-31,732.0,high,bull
41,2013-09-30,584.0,low,bear
86,2013-12-18,897.0,high,bull
117,2014-02-06,774.0,low,bear
122,2014-02-13,808.0,high,bull
125,2014-02-18,795.0,low,bear
127,2014-02-23,810.0,high,bull
141,2014-03-18,700.0,low,bear
218,2014-07-13,991.0,high,bull
253,2014-09-07,726.0,low,bear
277,2014-10-20,785.0,high,bull
279,2014-10-22,785.0,low,bear
282,2014-10-28,822.0,high,bull
296,2014-11-18,710.0,low,bear
312,2014-12-14,800.0,high,bull
319,2014-12-23,649.0,low,bear
343,2015-02-01,705.0,high,bull
359,2015-02-24,660.0,low,bear
367,2015-03-11,677.0,high,bull
380,2015-03-30,637.0,low,bear
393,2015-04-19,660.0,high,bull
395,2015-04-21,658.0,low,bear
396,2015-04-22,645.0,high,bull
400,2015-05-27,529.0,low,bear
411,2015-06-09,665.0,high,bull
429,2015-07-05,605.0,low,bear
487,2015-10-01,993.0,high,bull
519,2015-11-29,787.0,low,bear
535,2015-12-21,1052.0,high,bull
549,2016-01-11,700.0,low,bear
626,2016-05-09,959.0,high,bull
645,2016-06-05,718.0,low,bear
681,2016-07-27,914.0,high,bull
698,2016-08-22,805.0,low,bear
709,2016-09-06,912.0,high,bull
808,2017-02-14,407.0,low,bear
829,2017-03-20,424.0,high,bull
830,2017-03-21,432.0,low,bear
843,2017-04-11,515.0,high,bull
893,2017-07-02,427.0,low,bear
905,2017-07-18,474.0,high,bull
929,2017-08-23,455.0,low,bear
932,2017-08-28,465.0,high,bull
938,2017-09-10,340.0,low,bear
960,2017-10-22,369.0,high,bull
972,2017-11-08,340.0,low,bear
988,2017-11-30,370.0,high,bull
1009,2018-01-03,336.0,low,bear
1025,2018-01-31,344.0,high,bull
1026,2018-02-01,347.0,low,bear
1028,2018-02-05,348.0,high,bull
1031,2018-02-08,342.0,low,bear
1036,2018-02-18,360.0,high,bull
1058,2018-03-26,298.0,low,bear
1077,2018-04-22,356.0,high,bull
1124,2018-07-02,306.0,low,bear
1149,2018-08-06,315.0,high,bull
1153,2018-08-12,304.0,low,bear
1197,2018-10-21,450.0,high,bull
1229,2018-12-06,357.0,low,bear
1258,2019-01-16,398.0,high,bull
1285,2019-02-24,370.0,low,bear
1325,2019-04-25,507.0,high,bull
1378,2019-07-14,443.0,low,bear
1386,2019-07-24,474.0,high,bull
1432,2019-09-26,375.0,low,bear
1479,2019-12-15,421.0,high,bull
1491,2019-12-31,408.0,low,bear
1533,2020-02-27,660.0,high,bull
1549,2020-05-13,468.0,low,bear
1564,2020-07-19,627.0,high,bull
1615,2020-09-30,571.0,low,bear
1648,2020-11-24,697.0,high,bull
1659,2020-12-09,612.0,low,bear
1709,2021-02-18,963.0,high,bull
1724,2021-03-15,855.0,low,bear
1744,2021-04-15,979.0,high,bull
1760,2021-05-09,884.0,low,bear
1770,2021-05-23,948.0,high,bull
1778,2021-06-03,918.0,low,bear
1779,2021-06-06,928.0,high,bull
1790,2021-06-21,883.0,low,bear
1813,2021-07-25,1073.0,high,bull
1867,2021-10-19,791.0,low,bear
1876,2021-11-01,874.0,high,bull
1883,2021-11-15,824.9,low,bear
1886,2021-11-18,854.0,high,bull
1903,2021-12-13,709.0,low,bear
1929,2022-01-20,917.0,high,bull
1978,2022-04-06,741.9,low,bear
2000,2022-05-12,808.0,high,bull
2007,2022-05-25,775.0,low,bear
2009,2022-05-27,772.0,high,bull
2043,2022-07-11,648.0,low,bear
2055,2022-07-25,731.0,high,bull
2100,2022-09-20,603.1,low,bear
2139,2022-12-04,712.9,high,bull
2148,2022-12-18,665.0,low,bear
2168,2023-01-19,845.0,high,bull
2206,2023-03-23,686.0,low,bear
2225,2023-04-19,740.7,high,bull
2243,2023-05-16,690.0,low,bear
2288,2023-07-23,822.0,high,bull
2300,2023-08-08,770.1,low,bear
2304,2023-08-14,798.0,high,bull
2309,2023-08-21,779.0,low,bear
2312,2023-08-24,794.5,high,bull
2320,2023-09-07,775.0,low,bear
2324,2023-09-13,819.0,high,bull
2360,2023-11-21,495.0,low,bear
2381,2023-12-20,545.0,high,bull
2467,2024-05-06,346.9,low,bear
2479,2024-05-22,452.9,high,bull
2503,2024-06-30,394.1,low,bear
2523,2024-07-28,552.0,high,bull
2559,2024-09-24,430.2,low,bear
2571,2024-10-16,498.7,high,bull
2635,2025-01-27,353.0,low,bear
2655,2025-03-02,410.0,high,bull
2671,2025-03-25,362.76,low,bear
2685,2025-04-17,383.07,high,bull
2704,2025-05-18,337.51,low,bear
2712,2025-05-28,371.62,high,bull
2729,2025-06-24,335.39,low,bear
2745,2025-07-16,420.05,high,bull
2816,2025-11-20,306.4,low,bear
2821,2025-11-27,334.9,high,bull
2830,2025-12-11,316.0,low,bear
2833,2025-12-16,326.0,high,bull
2838,2025-12-23,318.0,low,bear
2857,2026-01-26,356.0,high,bull
2869,2026-02-11,320.9,low,bear
